"Salary" "Neuroticism" "Education" "Sex"
"88" 76845.577122477 3.43698928620654 "High" "F"
"89" 98062.6531098818 4.60349911979194 "High" "F"
"90" 53760.9545057088 1.27471517924482 "Low" "F"
"91" 27107.1285955445 0 "Low" "F"
"92" 60789.3761970182 3.64910582225375 "Medium" "M"
"93" 53003.5471013789 3.96971023752316 "Medium" "M"
"94" 49094.3010051476 3.00817891425048 "Medium" "M"
"95" 61596.5411369054 3.68253301529959 "Medium" "F"
"96" 47151.6443693306 1.41180508038674 "Low" "M"
"97" 76822.1931094914 3.99729279242868 "High" "M"
"98" 70573.6802549135 0.741181253462813 "Low" "F"
"99" 31602.6259089512 4.2604962304394 "Medium" "F"
"100" 64094.8930970041 4.83988958274004 "Medium" "M"
"101" 54048.7386107693 4.16901243688056 "Medium" "M"
"102" 68427.5632511476 3.22884441344099 "Medium" "M"
"103" 55933.2619768457 3.22373674418877 "Medium" "F"
"104" 78527.4169465347 2.81165125545804 "High" "M"
"105" 38990.1144875581 3.92689619458948 "Medium" "F"
"106" 78446.4604301412 3.92594051983226 "High" "F"
"107" 110248 3.54520810324323 "High" "M"
"108" 76863.5727559995 2.04682248670351 "Medium" "M"
"109" 80832.4697104312 2.99629869683465 "Medium" "M"
"110" 54960.533348958 1.67375015567936 "Low" "F"
"111" 94331.4715498306 3.76690988099598 "High" "F"
"112" 75227.8140608088 2.2127927898188 "Medium" "M"
"113" 41431.1373097554 3.83914518741804 "Low" "F"
"114" 73583.8188302114 4.09217190857385 "High" "F"
"115" 51296.9071686084 4.16980872993812 "Medium" "F"
"116" 32534.7460635638 0.17762185571939 "Low" "M"
"117" 62403.3412475416 2.86531963879116 "Medium" "M"
"118" 92512.9499734262 3.52921136713491 "High" "M"
"119" 76700.0624495502 2.20824612156576 "Medium" "F"
"120" 56780.1232266262 4.57244165133793 "Medium" "F"
"121" 59550.1621248674 2.04404291531936 "Medium" "M"
"122" 96941.7306422425 3.5239807116547 "Medium" "M"
"123" 66376.9943694033 3.97474371044504 "Medium" "F"
"124" 57185.4557137022 2.55065645738335 "Low" "M"
"125" 60090.3949741747 2.50503291797369 "Medium" "F"
"126" 76484.7337888278 4.90925232956581 "High" "M"
"127" 46257.8893842139 2.54416696935673 "Low" "M"
"128" 64267.5992588644 1.49069762331699 "Low" "M"
"129" 42961.7665209766 1.21364668702863 "Low" "M"
"130" 63501.6202634003 5.03350151445576 "Medium" "M"
"131" 39623.7972567202 2.67298924563892 "Medium" "F"
"132" 80651.2182819023 2.52183588385258 "High" "M"
"133" 44574.0787159906 3.70740230050051 "Medium" "F"
"134" 72434.6083601056 3.5170149778847 "Medium" "M"
"135" 63660.4791151862 2.09649723924765 "Medium" "M"
"136" 63106.2124799069 1.59359707181785 "Medium" "F"
"137" 95916.126874042 4.00655148517593 "High" "M"
"138" 88821.7766277601 5.07847047268992 "High" "M"
"139" 67823.8075935362 4.64885543773826 "High" "F"
"140" 67424.9483277181 2.83139619692514 "Medium" "M"
"141" 49913.3939751548 2.54008970097465 "Medium" "F"
"142" 54660.562794343 3.48358331558496 "Medium" "M"
"143" 59464.6818607795 2.53286922563131 "Low" "F"
"144" 55992.0084029786 2.93609485086472 "Low" "F"
"145" 93930.1347318565 3.76796205626193 "High" "F"
"146" 32305.0804641375 3.16627322337276 "Low" "M"
"147" 23385.787715949 1.68932881263851 "Low" "F"
"148" 29647.5340460881 2.11637828272594 "Low" "F"
"149" 50009.1848555197 3.03093700204486 "Low" "F"
"150" 54315.4524005213 4.09727169013802 "Medium" "M"
"151" 62277.1449995712 2.45104063604497 "High" "F"
"152" 58543.8082863735 3.34369135292305 "Medium" "F"
"153" 74770.8394776972 3.77186914963775 "Medium" "F"
"154" 53935.4033317917 1.16005899627271 "Low" "M"
"155" 30899.4089128402 2.80882844715358 "Low" "F"
"156" 46315.4179590127 2.54522347918772 "Medium" "M"
"157" 48173.0406079399 4.12312121009534 "Medium" "F"
"158" 40347.804314356 2.85821720807014 "Low" "F"
"159" 68344.627987963 3.90868537842236 "Medium" "M"
"160" 19509.5572762583 2.50159683839176 "Low" "M"
"161" 69547.6021533421 3.98943674729944 "Medium" "F"
"162" 56331.0855495451 4.43065607188278 "Medium" "F"
"163" 60710.2953725675 4.9306635912459 "Medium" "F"
"164" 42401.945932577 3.22794971976182 "Medium" "M"
"165" 61027.5942014527 1.33230137441924 "Medium" "F"
"166" 55778.94891695 3.27910093596762 "Medium" "M"
"167" 72005.5839858747 3.42766493729631 "Medium" "M"
"168" 53891.0221825295 2.26593605225506 "Low" "M"
"169" 63918.6179830678 3.73730479505467 "Medium" "F"
"170" 75598.0328678395 4.11494753396371 "Medium" "F"
"171" 56879.6701701716 2.81001669310586 "Medium" "F"
"172" 54183.886745372 2.14749304901146 "Low" "F"
"173" 78344.3109046461 4.44544773178652 "High" "F"
"174" 55276.5360601719 2.7824941108245 "Medium" "F"
"175" 71033.9212036115 3.33009876914606 "Medium" "F"
"176" 83132.6375785634 1.57759024643655 "Medium" "F"
"177" 74619.9996601503 2.2961939763639 "Medium" "F"
"178" 59685.0114923737 2.11875928579599 "Medium" "M"
"179" 77686.1035785117 3.3771421342279 "High" "F"
"180" 78805.8946244913 2.66035414330047 "Medium" "F"
"181" 82777.9097512439 4.4321846178851 "High" "M"
"182" 66965.080465371 4.0905632429855 "Medium" "F"
"183" 59578.9674140222 2.63126282923887 "Medium" "F"
"184" 78517.6229931341 2.40124396274682 "Medium" "M"
"185" 55344.4495121506 2.3629581620532 "Medium" "M"
"186" 69385.5619016316 2.89827804488413 "Medium" "M"
"187" 52535.9742371022 3.04814338659581 "Medium" "F"
"188" 31550.6081054718 3.66502588139943 "Medium" "M"
"189" 66046.6422268439 3.83153553271168 "High" "M"
"190" 88657.1117363026 2.33154373543281 "High" "M"
"191" 71195.6698404622 3.17413670563969 "Medium" "F"
"192" 37187.4671484876 4.26562314367406 "Medium" "F"
"193" 61963.3200889589 5.12303490604003 "High" "M"
"194" 83488.994978906 2.5786957347704 "Medium" "F"
"195" 80437.2907226434 2.78458314509353 "High" "M"
"196" 58325.4862387305 5.35049606065392 "Medium" "F"
"197" 55547.7423610884 3.11353855302266 "Medium" "M"
"198" 57901.4333710744 3.16900035508504 "Medium" "M"
"199" 41340.4922629942 2.75756595696635 "Low" "M"
"200" 66516.9464772053 1.87437485785526 "Medium" "M"
"201" 42071.112289505 1.77690615050335 "Low" "F"
"202" 80007.9652131912 2.79084388381231 "High" "F"
"203" 28933.0947411023 2.66053333493072 "Medium" "F"
"204" 81593.1355009508 3.35364400338718 "Medium" "F"
"205" 85727.0740236935 2.08721376301567 "Medium" "F"
"206" 65691.4778249891 4.60946717435992 "High" "M"
"207" 58064.1237758256 3.49918558806463 "Medium" "M"
"208" 79491.8778937289 2.48031179115098 "Medium" "F"
"209" 52263.9229806926 2.59174637191373 "Low" "M"
"210" 53636.3348227254 3.0371401201937 "Low" "M"
"211" 45271.7682130368 4.15798591922436 "Medium" "F"
"212" 90699.9921759217 3.07049244449205 "Medium" "M"
"213" 29322.5973668848 2.31861315080426 "Low" "M"
"214" 69725.9181299839 3.17816602243371 "Medium" "F"
"215" 38498.0208731087 3.6290398803615 "Low" "F"
"216" 52583.6919198181 4.21259915420916 "Medium" "M"
"217" 53840.1540864749 3.96447035313007 "Medium" "M"
"218" 50735.9698463891 3.0069023962003 "Medium" "M"
"219" 97118.5099893134 4.42444744314132 "High" "M"
"220" 79739.6452494757 4.45009848547637 "High" "F"
"221" 67379.5586523675 2.36297144875663 "Medium" "F"
"222" 88299.6787990615 2.63047663542898 "High" "F"
"223" 54539.028149376 3.80008293089472 "Medium" "M"
"224" 53327.4994343384 1.94670314496359 "Medium" "F"
"225" 44632.7695113373 2.39998285049409 "Low" "M"
"226" 36497.167081846 3.46581136900043 "Medium" "F"
"227" 43044.3995808256 3.73353064088905 "Medium" "M"
"228" 48166.2629180332 3.41389142601618 "Medium" "M"
"229" 51258.5417543701 2.62659316325964 "Medium" "F"
"230" 77967.6025531636 4.94783705616488 "High" "M"
"231" 73072.4854983608 4.73636219259381 "Medium" "M"
"232" 40881.2768801153 4.00440143583703 "Medium" "M"
"233" 72394.9144326248 1.59300422694771 "Medium" "F"
"234" 47184.6790628963 3.59328453985487 "Low" "F"
"235" 49975.0664992019 3.20433718263612 "Medium" "F"
"236" 58567.1458699923 3.70027857519114 "Medium" "M"
"237" 48957.6454288837 2.92954014085986 "Low" "M"
"238" 77541.8272539085 4.02329693288285 "High" "F"
"239" 39546.6970622372 2.3342976497967 "Low" "F"
"240" 80116.6386323681 4.97582905533631 "High" "M"
"241" 57854.7078199406 3.8596432476999 "Medium" "F"
"242" 51327.1839894353 4.09751979084791 "Medium" "M"
"243" 32161.0276037446 4.43271520222505 "Low" "F"
"244" 79908.5576460974 3.81936318053088 "Medium" "M"
"245" 70081.164374266 3.42921852467436 "Medium" "M"
"246" 58103.606311354 1.36509662888026 "Medium" "F"
"247" 37807.5674685447 5.54995283610011 "Medium" "M"
"248" 77669.4402179982 3.69379848190405 "High" "M"
"249" 87040.1256804537 6.13300895172752 "High" "F"
"250" 62968.426757555 3.57200097582777 "Medium" "M"
"251" 47830.3322392939 4.56545974018897 "Medium" "F"
"252" 52092.1260022014 2.30489209050683 "Low" "M"
"253" 57704.6275433106 3.68880259926541 "Medium" "F"
"254" 47584.3084406605 3.43483278551856 "Medium" "F"
"255" 66763.2338340929 3.09330826585838 "Medium" "M"
"256" 97677.1628268533 4.00305896760457 "High" "M"
"257" 43251.1341295849 3.26314491649889 "Low" "M"
"258" 63781.5167075514 3.08021555510307 "Medium" "F"
"259" 60430.3362013456 1.51273477907034 "Medium" "M"
"260" 87161.956805567 3.93861279778522 "High" "F"
"261" 66205.000338788 4.56662104232393 "High" "F"
"262" 59380.6435238101 4.63206570738395 "High" "M"
"263" 58363.7439379686 3.77851801217294 "Medium" "F"
"264" 85425.0594107623 2.66138108232623 "High" "F"
"265" 86342.3237130149 3.56696319083293 "Medium" "F"
"266" 43957.4506241789 4.07839558717668 "Medium" "F"
"267" 58546.9335487469 4.34193192327986 "Medium" "F"
"268" 70769.5652768991 3.06015226860362 "Medium" "M"
"269" 54706.7175764849 2.12376410259443 "Low" "F"
"270" 55785.892483447 4.52227190051939 "Medium" "M"
"271" 77357.3009575214 2.68201660954017 "High" "F"
"272" 42514.6599553676 2.02564855878006 "Low" "M"
"273" 62092.0389089933 2.78905506098382 "Low" "F"
"274" 52688.529197574 1.01754370026959 "Low" "F"
"275" 56109.4346638813 4.34453483645355 "High" "F"
"276" 70629.3594056838 4.8552151786773 "Medium" "M"
"277" 86199.0694765521 4.10236601017839 "High" "F"
"278" 61499.8114017485 3.01448853282897 "Medium" "M"
"279" 39972.3136179067 2.80395082627637 "Low" "F"
"280" 60192.2223199173 3.01396085673274 "Medium" "F"
"281" 80235.6375829213 4.80018621256942 "High" "F"
"282" 33043.3517738003 3.17061093649324 "Low" "M"
"283" 64049.3389125397 3.25448668936171 "Medium" "M"
"284" 35261.6772313302 1.39407009889668 "Low" "F"
"285" 48491.2391756203 1.27325517092528 "Low" "F"
"286" 75414.6592399763 2.74598068930597 "Medium" "F"
"287" 44821.7619258112 3.07922417423666 "Low" "F"
"288" 60048.8706622129 0.72693667813048 "Low" "M"
"289" 35863.1931293374 0.788296578568395 "Low" "F"
"290" 63764.4880647828 2.69409414488777 "Medium" "F"
"291" 66559.2978871676 3.588861525415 "Medium" "M"
"292" 32832.1960667987 1.61868596297385 "Low" "F"
"293" 56426.7185634803 3.15551303469723 "Low" "F"
"294" 67305.8702837643 4.39041143145462 "High" "F"
"295" 82525.2070245651 3.96016697802916 "High" "M"
"296" 79037.1004616122 4.80481958610748 "High" "M"
"297" 80152.486768612 4.43735771413197 "High" "M"
"298" 40915.4642636566 2.01787609278035 "Low" "M"
"299" 46068.2477985817 2.59583531695242 "Low" "M"
"300" 66284.8898762224 4.65857785785456 "High" "M"
"301" 64359.7711369909 4.40997128230647 "High" "M"
"302" 36627.3058504601 1.83683951664652 "Low" "F"
"303" 76557.1111501422 4.83587006926289 "High" "F"
"304" 71201.4612926653 4.23638535811967 "Medium" "M"
"305" 77892.0170643749 3.48802891945242 "Medium" "F"
"306" 64049.8607932348 3.37520296306642 "Medium" "M"
"307" 46335.0659442938 2.33398873065402 "Low" "F"
"308" 31726.3015436581 4.24362393031422 "Low" "M"
"309" 60544.1187264393 3.48806389799606 "Medium" "M"
"310" 45643.8516179156 3.11706231933333 "Medium" "M"
"311" 72682.7037951701 1.11132151704931 "Medium" "F"
"312" 60193.338144695 1.91599653897183 "Medium" "M"
"313" 64970.896944169 3.1858837562956 "Medium" "F"
"314" 37182.8307186876 2.57464712864277 "Low" "M"
"315" 52544.8630435852 3.48853931481404 "Medium" "F"
"316" 74847.8199282885 4.80710619278017 "High" "M"
"317" 76615.9990296238 3.94009543935119 "High" "M"
"318" 50007.938508609 3.43537127643704 "Low" "M"
"319" 66409.7679065167 2.46554289214314 "Medium" "F"
"320" 89053.586349391 3.07425322012992 "High" "M"
"321" 70265.8426687134 3.05671643376787 "High" "M"
"322" 75295.1607311836 3.88584591835932 "Medium" "F"
"323" 43855.481552948 2.32776152030583 "Low" "F"
"324" 48617.004449003 3.92641181849225 "Medium" "M"
"325" 46166.9235680271 2.17001976383475 "Low" "F"
"326" 53589.2792031393 1.89328080054125 "Low" "F"
"327" 65746.7550901825 3.79139061934429 "High" "M"
"328" 67088.4996367259 0.817071475480777 "Low" "F"
"329" 63110.0556121026 2.25375463512226 "Medium" "F"
"330" 97604.1411026952 2.87484901670921 "High" "F"
"331" 58186.6800619585 4.15220420852137 "Medium" "M"
"332" 59210.0500737334 2.74228208664685 "Medium" "M"
"333" 37589.7776256569 3.9261061552315 "Medium" "M"
"334" 62569.4370400238 5.40037453766084 "High" "M"
"335" 61119.2259642291 3.08848167245781 "Medium" "M"
"336" 69306.2352779518 3.49452032239906 "Medium" "M"
"337" 45651.7316262471 1.75740175787654 "Medium" "F"
"338" 79204.5394299915 2.55333692670363 "Medium" "F"
"339" 76512.1559259149 3.30017640511839 "Medium" "F"
"340" 66198.9757280532 4.36114591808947 "High" "M"
"341" 68826.5197220483 2.60393378764161 "Medium" "M"
"342" 21054.0978003654 4.69045771763718 "Low" "F"
"343" 61075.5570626482 2.86088725845329 "Medium" "F"
"344" 52027.2382542951 2.45338666839078 "Low" "F"
"345" 68525.4312691069 3.80687950255455 "Medium" "F"
"346" 51455.2304118049 3.22997833496445 "Medium" "F"
"347" 77913.000116941 3.55645531444638 "High" "F"
"348" 46402.2930639932 4.14450724069531 "Medium" "F"
"349" 40143.798689616 3.77764516669826 "Low" "F"
"350" 43467.6714089854 3.22684090844803 "Medium" "M"
"351" 10248 2.87852138353852 "Low" "F"
"352" 96987.2092185519 4.02267682473095 "High" "F"
"353" 83120.5089984159 4.11987924795758 "Medium" "F"
"354" 40560.0433871614 1.41159092757284 "Low" "F"
"355" 61667.4963540751 5.23337595893518 "Medium" "M"
"356" 82050.1667338065 3.59063190005252 "High" "M"
"357" 82483.0381593978 2.00685181149425 "Medium" "F"
"358" 68367.8567544229 2.95263028707077 "Medium" "M"
"359" 62735.8917911577 3.37742569823364 "Medium" "M"
"360" 54330.5142517073 5.49182587128617 "High" "F"
"361" 50902.6108922959 3.17639369806131 "Low" "M"
"362" 37343.7364102826 2.52015427975752 "Low" "F"
"363" 68975.6667998892 2.91970893493647 "High" "M"
"364" 61590.5306666599 2.51290157466545 "Medium" "F"
"365" 60060.0957733315 3.11280186752739 "Medium" "M"
"366" 83399.5637730741 6.28520622536384 "High" "F"
"367" 34912.5655526798 0.81057460907331 "Low" "M"
"368" 31671.190999223 3.36406290776977 "Low" "M"
"369" 79489.0650337638 2.8021189320892 "Medium" "M"
"370" 70615.4822941436 4.67435108944724 "Medium" "F"
"371" 77896.5581196026 2.27971787480855 "Medium" "F"
"372" 79175.1824671482 3.37479199540786 "Medium" "F"
"373" 86110.8928527228 3.16720796723296 "High" "F"
"374" 51324.850697893 4.02346979530079 "Medium" "F"
"375" 62177.1531663114 4.51880752272525 "Medium" "M"
"376" 85430.3544906994 5.77105245220252 "High" "F"
"377" 104597.466343681 4.78669888903063 "High" "M"
"378" 13403.8548353658 3.97203763443547 "Low" "M"
"379" 59802.0456069454 4.31619050080923 "Medium" "M"
"380" 87919.1515283988 3.99325821340962 "High" "M"
"381" 58708.730025883 3.65940865559854 "Medium" "M"
"382" 65825.0462486851 3.27609592678958 "High" "M"
"383" 69918.9696986053 3.09409236289755 "Medium" "F"
"384" 67186.9146809828 5.14809995871058 "High" "F"
"385" 64807.4436381901 3.71425260152252 "Medium" "M"
"386" 88775.4664101815 4.49625242296708 "High" "F"
"387" 59757.9583004097 1.51235188138581 "Low" "M"
"388" 45424.641898545 2.73615024754743 "Medium" "F"
"389" 56554.4435422947 1.74584471166318 "Low" "M"
"390" 31912.237301967 2.7359872873211 "Low" "M"
"391" 68916.8174647623 3.26029206904941 "High" "F"
"392" 73847.9258929816 3.73197188788309 "Medium" "F"
"393" 77628.4665705012 2.29916748046183 "Medium" "F"
"394" 71178.8175137988 5.6667452984043 "High" "M"
"395" 48781.4224385909 2.79172634173657 "Low" "F"
"396" 34453.9456209343 1.80013848126635 "Low" "F"
"397" 58419.8390644925 3.4579562374143 "Medium" "M"
"398" 41914.5521179215 2.09767623728643 "Low" "F"
"399" 37360.7156817139 2.71537358336034 "Low" "F"
"400" 87543.6840629138 4.31372245566188 "High" "F"
"401" 100847.1874348 3.2401405003535 "High" "M"
"402" 39318.2541197417 1.72304571919945 "Low" "F"
"403" 78713.4450910331 4.36157852868446 "High" "M"
"404" 73840.4153081352 4.65135479765636 "Medium" "F"
"405" 53561.9094104466 4.1780651102411 "Medium" "M"
"406" 33702.9318094458 2.71903107533471 "Medium" "F"
"407" 63936.6829335603 3.95723259585307 "Medium" "F"
"408" 31953.6245688903 2.35708552767542 "Low" "F"
"409" 48665.3973681048 3.50940337753009 "Medium" "M"
"410" 76067.9521217116 3.47444483601826 "Medium" "M"
"411" 79816.6919406798 5.45070463658511 "Medium" "M"
"412" 72384.0150206514 3.09401840222166 "High" "M"
"413" 53056.7838429937 2.48469515147471 "Low" "M"
"414" 65893.4425459233 1.73272312504069 "Medium" "F"
"415" 60540.7183460774 3.75569850712569 "Medium" "F"
"416" 51845.4045572875 3.33465815380955 "Low" "F"
"417" 77614.8415819659 5.33991237584657 "High" "F"
"418" 57851.0121182189 1.60880145230235 "Medium" "F"
"419" 54240.1703964514 3.60454692325221 "Medium" "M"
"420" 44124.5648668689 3.75871530712925 "Low" "F"
"421" 36012.2688298503 2.89876706587156 "Medium" "M"
"422" 73996.4680138634 3.07108807123452 "Medium" "F"
"423" 43399.8089771495 3.2209992123363 "Medium" "F"
"424" 59949.8621553612 3.56378481478505 "Medium" "F"
"425" 75700.4049485666 4.67364169109693 "High" "M"
"426" 71053.3424505757 4.37713805659769 "Medium" "F"
"427" 63387.7471370857 3.17067662017375 "Medium" "F"
"428" 61421.9559804168 3.41974042658602 "Medium" "F"
"429" 41235.2889530763 4.52240852216884 "Low" "F"
"430" 69317.1313423357 4.47383711038913 "High" "M"
"431" 77248.5866628201 4.2669602041869 "High" "M"
"432" 78744.9301059585 2.10639199941645 "Medium" "M"
"433" 68629.2734314594 3.25462701671867 "Medium" "M"
"434" 66468.798525374 3.91689875254611 "High" "M"
"435" 49005.7555603453 2.38911638135003 "Low" "M"
"436" 47357.81587612 2.76098750481743 "Medium" "M"
"437" 37358.6684631536 1.8122499393705 "Low" "M"
"438" 77019.5664399782 2.6369053243471 "Medium" "F"
"439" 17136.9719528197 2.21543521933985 "Low" "F"
"440" 17105.8672124615 3.56644297202976 "Low" "M"
"441" 72055.4353672937 4.14773483442171 "Medium" "F"
"442" 52971.7076132309 2.94489859069439 "Medium" "M"
"443" 80651.949569902 1.81301753371716 "Medium" "M"
"444" 42738.464233855 1.67757252021721 "Low" "F"
"445" 86462.5760807881 3.71506810692298 "High" "M"
"446" 69751.3515690194 3.34065886776602 "Medium" "M"
"447" 74995.8259943331 3.54020203934143 "High" "F"
"448" 31562.6114120939 4.11153528770835 "Low" "F"
"449" 57179.4249352047 3.01976958958771 "Medium" "F"
"450" 96775.704917858 2.21591329818879 "Medium" "M"
"451" 62835.8963223249 3.13160180523863 "Medium" "F"
"452" 69663.747461819 2.39395504397017 "Medium" "F"
"453" 37411.2487372611 2.5318468682127 "Low" "M"
"454" 38264.5443415454 2.59798537120468 "Low" "F"
"455" 56114.43610566 2.70209059503827 "Low" "M"
"456" 81758.4894668233 2.72134377837841 "High" "F"
"457" 79575.0792779561 4.2942410946881 "High" "F"
"458" 64135.2480917586 3.51720262959956 "Medium" "F"
"459" 41718.424335556 1.1854257488379 "Low" "M"
"460" 60626.3389810807 3.2140871439526 "Low" "M"
"461" 61345.7021005482 4.77523464739448 "High" "F"
"462" 75827.9055069735 5.21524383678247 "Medium" "M"
"463" 56444.8347440337 3.38595743984885 "Medium" "F"
"464" 56914.7855469581 2.43843934778765 "Low" "M"
"465" 38081.1676434659 3.33463882933869 "Medium" "F"
"466" 71475.1193617335 3.31174445237067 "Medium" "M"
"467" 57905.0463511466 0.820609015433894 "Low" "F"
"468" 52260.8645943128 1.82564240376032 "Medium" "M"
"469" 52540.5276171558 3.18599834410816 "Medium" "M"
"470" 84239.6349568704 3.60980803181121 "High" "M"
"471" 54484.1950289232 2.44527105373414 "Low" "F"
"472" 78599.6239152405 2.3036132882478 "High" "M"
"473" 63477.7639081104 1.97283511256948 "Medium" "F"
"474" 101525.931080565 3.16555830374204 "High" "M"
"475" 44898.8805124646 4.09393105271064 "Medium" "M"
"476" 75331.31649033 2.31447023745564 "Medium" "F"
"477" 68696.9511568027 2.56968916918507 "Medium" "M"
"478" 29047.5424503412 2.46672933826231 "Low" "F"
"479" 35343.9921922788 2.12303528266118 "Low" "M"
"480" 69268.6355330434 3.37717702723881 "Medium" "F"
"481" 36791.9078934385 4.36624650453218 "Low" "M"
"482" 99955.9949662883 3.14582187025658 "High" "F"
"483" 55187.8692076965 2.99142683171425 "Medium" "M"
"484" 43362.9483452914 2.81106068226049 "Medium" "F"
"485" 86789.4320389631 5.39687871871279 "High" "F"
"486" 37521.9582414433 1.74167986313019 "Low" "M"
"487" 43412.8308332828 2.32847263816884 "Low" "M"
"488" 77647.8138363572 3.92412037714112 "Medium" "F"
"489" 61693.6260311671 2.34853015724415 "Medium" "M"
"490" 91960.7860477934 5.5187622538694 "High" "F"
"491" 65445.9021742086 4.68269247904891 "High" "M"
"492" 55840.5372492586 1.48155620966329 "Low" "F"
"493" 62181.1610878416 3.64023631230484 "Medium" "M"
"494" 53355.0941074723 3.07010073777103 "Medium" "F"
"495" 26295.6030003468 2.6659312515937 "Low" "F"
"496" 81262.2227837629 4.02902562798173 "High" "M"
